"filename", "language", "SCSS", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/use-toast.js", "JavaScript", 0, 0, 128, 3, 25, 156
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/constants/index.js", "JavaScript", 0, 0, 206, 0, 5, 211
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/context/index.jsx", "JavaScript JSX", 0, 23, 0, 2, 6, 31
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/_app.js", "JavaScript", 0, 0, 29, 1, 7, 37
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/_document.js", "JavaScript", 0, 0, 13, 0, 2, 15
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/about/index.jsx", "JavaScript JSX", 0, 54, 0, 0, 7, 61
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/about/style.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/api/contact.js", "JavaScript", 0, 0, 15, 0, 1, 16
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/api/hello.js", "JavaScript", 0, 0, 3, 1, 2, 6
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/contact/index.jsx", "JavaScript JSX", 0, 43, 0, 0, 10, 53
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/contact/style.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/cookies/index.jsx", "JavaScript JSX", 0, 40, 0, 0, 8, 48
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/cookies/style.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/index.js", "JavaScript", 0, 0, 83, 2, 12, 97
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/materials/index.jsx", "JavaScript JSX", 0, 53, 0, 0, 9, 62
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/materials/style.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/ochrana-osobnich-udaju/index.jsx", "JavaScript JSX", 0, 40, 0, 0, 8, 48
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/ochrana-osobnich-udaju/style.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/3d-pc/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/3d-tee/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/3d-windmill/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/agency/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/apple-site/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/bank/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/blog/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/brainwave/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/car-app/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/components/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/denis-clone/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/e-comm/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/framer/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
