"filename", "language", "JavaScript JSX", "JavaScript", "SCSS", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Navbar/style.module.scss", "SCSS", 0, 0, 190, 0, 9, 199
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/ParallaxZoom/index.jsx", "JavaScript JSX", 162, 0, 0, 3, 15, 180
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/ParallaxZoom/style.module.scss", "SCSS", 0, 0, 106, 0, 4, 110
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Sections/index.jsx", "JavaScript JSX", 69, 0, 0, 1, 8, 78
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/constants/index.js", "JavaScript", 0, 8, 0, 0, 0, 8
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/about/index.jsx", "JavaScript JSX", 5, 0, 0, 0, 1, 6
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/contact/index.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/cookies/index.jsx", "JavaScript JSX", 2, 0, 0, 0, 1, 3
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/index.js", "JavaScript", 0, 19, 0, -43, -13, -37
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/materials/index.jsx", "JavaScript JSX", 13, 0, 0, 0, 1, 14
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/ochrana-osobnich-udaju/index.jsx", "JavaScript JSX", 2, 0, 0, 0, 1, 3
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/3d-pc/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/3d-tee/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/3d-windmill/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/agency/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/apple-site/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/bank/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/blog/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/brainwave/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/car-app/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/components/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/denis-clone/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/e-comm/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/framer/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/index.jsx", "JavaScript JSX", -2, 0, 0, 0, -2, -4
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/nft/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/restaurant/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/smooth-scroll/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/sushi/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/travel/index.jsx", "JavaScript JSX", 94, 0, 0, 0, 4, 98
"Total", "-", 1117, 27, -117, -42, 6, 991
