"filename", "language", "JavaScript", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Intro/index.jsx", "JavaScript JSX", 0, 0, 22, 0, 9, 31
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Intro/style.module.scss", "SCSS", 0, 13, 0, 0, 0, 13
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/Projects/index.jsx", "JavaScript JSX", 0, 0, 164, 6, 27, 197
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/Projects/style.module.scss", "SCSS", 0, 81, 0, 0, 5, 86
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/index.jsx", "JavaScript JSX", 0, 0, 30, 0, 9, 39
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/style.module.scss", "SCSS", 0, 78, 0, 0, 6, 84
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/ParallaxZoom/index.jsx", "JavaScript JSX", 0, 0, 170, 3, 19, 192
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/ParallaxZoom/style.module.scss", "SCSS", 0, 106, 0, 0, 4, 110
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/Introduction/index.jsx", "JavaScript JSX", 0, 0, 57, 1, 6, 64
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/Introduction/style.module.scss", "SCSS", 0, 82, 0, 0, 5, 87
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/MobileView/Projects/index.jsx", "JavaScript JSX", 0, 0, 81, 1, 6, 88
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/MobileView/Projects/style.module.scss", "SCSS", 0, 57, 0, 0, 1, 58
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/MobileView/index.jsx", "JavaScript JSX", 0, 0, 27, 0, 8, 35
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/MobileView/style.module.scss", "SCSS", 0, 76, 0, 0, 5, 81
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/Services/index.jsx", "JavaScript JSX", 0, 0, 57, 1, 6, 64
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/Services/style.module.scss", "SCSS", 0, 83, 0, 0, 4, 87
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/StyleChoice/index.jsx", "JavaScript JSX", 0, 0, 57, 1, 6, 64
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/StyleChoice/style.module.scss", "SCSS", 0, 84, 0, 0, 4, 88
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/index.jsx", "JavaScript JSX", 0, 0, 33, 3, 6, 42
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/style.module.scss", "SCSS", 0, 33, 0, 0, 2, 35
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/TopBar/index.jsx", "JavaScript JSX", 0, 0, 40, 0, 7, 47
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/TopBar/style.module.scss", "SCSS", 0, 58, 0, 0, 6, 64
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/anim.js", "JavaScript", 120, 0, 0, 1, 10, 131
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/transition/CurveTransition/animations.js", "JavaScript", 50, 0, 0, 0, 3, 53
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/transition/CurveTransition/index.jsx", "JavaScript JSX", 0, 0, 84, 0, 11, 95
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/transition/CurveTransition/style.module.scss", "SCSS", 0, 43, 0, 0, 1, 44
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/animated-tooltip.jsx", "JavaScript JSX", 0, 0, 72, 2, 3, 77
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/chart.jsx", "JavaScript JSX", 0, 0, 274, 2, 34, 310
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/clickButton.jsx", "JavaScript JSX", 0, 0, 45, 0, 4, 49
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/clickButton.module.scss", "SCSS", 0, 80, 0, 0, 6, 86
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/linkButton.jsx", "JavaScript JSX", 0, 0, 16, 0, 1, 17
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/linkButton.module.scss", "SCSS", 0, 45, 0, 0, 3, 48
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/phoneButton.jsx", "JavaScript JSX", 0, 0, 33, 1, 4, 38
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/phoneButton.module.scss", "SCSS", 0, 48, 0, 0, 2, 50
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/toast.jsx", "JavaScript JSX", 0, 0, 76, 0, 11, 87
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/toaster.jsx", "JavaScript JSX", 0, 0, 32, 0, 4, 36
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ui/use-toast.js", "JavaScript", 128, 0, 0, 3, 25, 156
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/constants/index.js", "JavaScript", 198, 0, 0, 0, 5, 203
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/context/index.jsx", "JavaScript JSX", 0, 0, 23, 2, 6, 31
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/_app.js", "JavaScript", 29, 0, 0, 1, 7, 37
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/_document.js", "JavaScript", 13, 0, 0, 0, 2, 15
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/about/index.jsx", "JavaScript JSX", 0, 0, 49, 0, 6, 55
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/about/style.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/api/contact.js", "JavaScript", 15, 0, 0, 0, 1, 16
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/api/hello.js", "JavaScript", 3, 0, 0, 1, 2, 6
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/contact/index.jsx", "JavaScript JSX", 0, 0, 43, 0, 9, 52
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/contact/style.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/cookies/index.jsx", "JavaScript JSX", 0, 0, 38, 0, 7, 45
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/cookies/style.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/index.js", "JavaScript", 64, 0, 0, 45, 25, 134
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/materials/index.jsx", "JavaScript JSX", 0, 0, 40, 0, 8, 48
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/materials/style.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/ochrana-osobnich-udaju/index.jsx", "JavaScript JSX", 0, 0, 38, 0, 7, 45
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/ochrana-osobnich-udaju/style.module.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/3d-pc/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/3d-tee/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/3d-windmill/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/agency/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/apple-site/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/bank/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/blog/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/brainwave/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/car-app/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/components/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/denis-clone/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/e-comm/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/framer/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/index.jsx", "JavaScript JSX", 0, 0, 41, 1, 10, 52
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/nft/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/restaurant/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/smooth-scroll/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/sushi/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/travel/index.jsx", "JavaScript JSX", 0, 0, 50, 5, 10, 65
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/styles/Home.module.scss", "SCSS", 0, 22, 0, 0, 1, 23
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/styles/globals.scss", "SCSS", 0, 71, 0, 0, 4, 75
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/utils.js", "JavaScript", 5, 0, 0, 0, 2, 7
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/utils/useDimensions.js", "JavaScript", 20, 0, 0, 0, 4, 24
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/utils/useMouse.js", "JavaScript", 39, 0, 0, 4, 7, 50
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/utils/useMousePosition.js", "JavaScript", 19, 0, 0, 7, 7, 33
"Total", "-", 982, 4244, 6091, 385, 1277, 12979
